id;code_val_key;code_table_key;code_classfctn_type_code;src_sys_code;lifecycle_status_code;code_col_val_code;desc_col_val_text;eff_date;end_date;comment_text;name_col_val_name;create_date;create_user_id;upd_date;upd_user_id
1;11607;9179;Small;JBOD;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;2019-06-07T11:09:32;2019-06-07T08:25:47;Personal Loan Account;Cambridgeshire Norfolk Island;2019-06-07T01:00:20;Checking Account;2019-06-06T18:46:02;Solutions COM
2;63640;94023;North Dakota incubat;haptic parsing;revolutionize Brandi;teal analyzing yellow;Books Generic;2019-06-07T01:01:42;2019-06-07T09:20:35;withdrawal;quantifying Garden;2019-06-06T21:52:24;hybrid;2019-06-07T14:35:04;Rupiah Personal Loan
3;73507;41794;Specialist China del;multi-byte Producer;Cotton Robust;user-centric Infrastructure;Managed Dobra application;2019-06-07T11:42:10;2019-06-07T14:56:44;Global Berkshire;monetize superstructure Fantastic;2019-06-07T16:08:12;Interactions;2019-06-06T21:05:21;granular
4;95680;95006;Applications Missour;Gorgeous Money Marke;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;2019-06-07T08:59:55;2019-06-07T00:28:50;Liaison;program Auto Loan Account Refined;2019-06-07T15:24:07;Algerian Dinar Fanta;2019-06-07T00:28:15;Sleek
5;8483;23322;Maine PCI SAS;Interactions;Pennsylvania dynamic;navigate Oklahoma;Triple-buffered array;2019-06-07T06:59:37;2019-06-07T05:35:51;Tools;Arizona hack;2019-06-06T23:00:28;quantifying;2019-06-06T23:33:34;Naira Versatile seiz
6;47771;28571;EXE;web services;Industrial Designer ;Principal Senior;Paraguay;2019-06-06T18:09:27;2019-06-07T15:36:36;Tuna magenta;Wells;2019-06-07T02:21:33;Maryland Legacy Unbr;2019-06-06T18:36:39;Regional
7;45565;10675;B2B Mouse;Junctions one-to-one;analyzing holistic;Architect;Beauty dynamic schemas;2019-06-07T02:57:14;2019-06-07T00:59:13;Keyboard;Licensed Usability models;2019-06-07T03:28:21;District Unbranded;2019-06-06T20:22:51;Aruba Chair portals
8;77760;81055;Strategist Shirt;navigate redefine;generating bypassing;Plastic Movies;SMS;2019-06-06T21:54:39;2019-06-07T04:35:46;parse Customer Rhode Island;Accounts navigating Ergonomic;2019-06-07T06:36:27;Concrete;2019-06-06T18:31:24;Savings Account
9;22864;87822;calculate Fantastic ;Kyrgyz Republic tran;solution connecting;California PNG engage;Burg;2019-06-07T07:19:39;2019-06-06T23:17:50;Credit Card Account transmitter cyan;Checking Account;2019-06-06T17:53:22;Home Loan Account wi;2019-06-07T04:06:18;Unbranded array
10;54744;51398;solid state empower;Switzerland CFP Fran;Granite Configuratio;Practical Steel Chips;Berkshire concept;2019-06-07T02:13:08;2019-06-07T03:30:32;robust;Granite Rubber;2019-06-07T13:46:29;Metal deposit;2019-06-07T13:03:19;best-of-breed Human 
